File,Selection,Notes,Time,Period,State,State_Period,BeginTime,EndTime,Dur.90...s.,BW.90...Hz.,Center.Freq..Hz.,Freq.5...Hz.,Freq.95...Hz.,FreqRange,CallType
sun_bp23_205c_selections_datetime.txt,95,pulse,2023-07-24T15:32:37Z,Day,R,Day,8984.289848,8985.02314,0.1707,117.188,35.156,29.297,146.484,HF,HFD
sun_bp23_205d_selections_datetime.txt,1,call,2023-07-24T17:52:36Z,Day,EF,Day,5986.508025,5987.375909,0.1905,15.625,46.875,39.062,54.688,HF,HFD
sun_bp23_205d_selections_datetime.txt,3,downsweep?,2023-07-24T18:03:12Z,Day,F,Day,6622.655534,6624.999284,1.7145,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,5,pulse/call,2023-07-24T18:03:21Z,Day,F,Day,6631.780772,6633.391229,0.508,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,7,20 Hz pulse,2023-07-24T18:03:49Z,Day,F,Day,6659.574425,6660.776466,0.508,7.812,15.625,15.625,23.438,LF,LFDB
sun_bp23_205d_selections_datetime.txt,9,20 Hz pulse,2023-07-24T18:03:58Z,Day,F,Day,6668.584771,6669.90284,0.5715,7.812,23.438,15.625,23.438,LF,LFDB
sun_bp23_205d_selections_datetime.txt,11,20 Hz pulse,2023-07-24T18:04:06Z,Day,F,Day,6676.995186,6678.16474,0.508,7.812,23.438,15.625,23.438,LF,LFDB
sun_bp23_205d_selections_datetime.txt,13,downsweep?,2023-07-24T18:04:12Z,Day,F,Day,6682.078697,6684.63177,0.8255,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,15,pulse,2023-07-24T18:05:40Z,Day,F,Day,6770.112817,6771.284077,0.508,7.812,15.625,15.625,23.438,LF,LFDB
sun_bp23_205d_selections_datetime.txt,17,call/downsweep?,2023-07-24T18:08:29Z,Day,SU_F,Day,6939.745234,6941.629515,0.635,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,19,40 Hz pulse,2023-07-24T18:13:38Z,Day,T,Day,7248.936648,7249.553913,0.1905,15.625,46.875,39.062,54.688,HF,HFD
sun_bp23_205d_selections_datetime.txt,21,20 Hz pulse?,2023-07-24T18:31:08Z,Day,F,Day,8298.979774,8300.511333,0.889,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,23,20 Hz pulse?,2023-07-24T18:35:41Z,Day,T,Day,8571.7237,8573.304607,0.5715,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,25,pulse?,2023-07-24T19:06:53Z,Day,T,Day,10443.19817,10443.84328,0.1905,15.625,39.062,31.25,46.875,HF,HFD
sun_bp23_205d_selections_datetime.txt,27,40 Hz,2023-07-24T19:11:34Z,Day,T,Day,10724.41161,10725.25165,0.254,15.625,39.062,31.25,46.875,HF,HFD
sun_bp23_205d_selections_datetime.txt,29,40 Hz,2023-07-24T19:15:00Z,Day,F,Day,10930.38695,10931.18986,0.1905,15.625,46.875,39.062,54.688,HF,HFD
sun_bp23_205d_selections_datetime.txt,31,20 Hz/downsweep,2023-07-24T19:36:12Z,Day,T,Day,12202.6191,12203.96966,0.5715,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,33,40 Hz?,2023-07-24T19:59:31Z,Day,T,Day,13601.51687,13602.30585,0.1905,15.625,39.062,31.25,46.875,HF,HFD
sun_bp23_205d_selections_datetime.txt,35,20 Hz?,2023-07-24T18:05:22Z,Day,F,Day,6752.843213,6754.541851,0.508,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,37,20 Hz?,2023-07-24T18:05:29Z,Day,F,Day,6759.446117,6760.764186,0.508,15.625,23.438,15.625,31.25,LF,LFR
sun_bp23_205d_selections_datetime.txt,39,40 Hz,2023-07-24T20:19:54Z,Twilight,T,Twilight,14824.281,14825.22778,0.254,15.625,39.062,31.25,46.875,HF,HFD
sun_bp23_205d_selections_datetime.txt,41,40 Hz,2023-07-24T20:16:40Z,Twilight,SU_T,Twilight,14630.5635,14631.37105,0.1905,15.625,39.062,31.25,46.875,HF,HFD
sun_bp23_205d_selections_datetime.txt,43,20 Hz?,2023-07-24T18:03:40Z,Day,F,Day,6650.597057,6651.910485,0.5715,15.625,23.438,15.625,31.25,LF,LFDB
sun_bp23_206f_selections_datetime.txt,1,pulse,2023-07-25T18:01:24Z,Day,EF,Day,7335.800554012,7336.806879644,0.576,23.438,23.438,15.625,39.062,LF,LFD
sun_bp23_206f_selections_datetime.txt,3,Call,2023-07-25T16:10:46Z,Day,F,Day,697.112972301,698.256158219,0.64,31.25,23.438,15.625,46.875,LF,LFDB
sun_bp23_206f_selections_datetime.txt,5,Call,2023-07-25T16:11:33Z,Day,F,Day,744.1598986,745.629103985,0.64,23.438,31.25,23.438,46.875,LF,LFDB
sun_bp23_206f_selections_datetime.txt,7,pulse,2023-07-25T16:15:55Z,Day,EF,Day,1006.789164541,1007.827692594,0.448,46.875,31.25,23.438,70.312,LF,LFDB
sun_bp23_206f_selections_datetime.txt,9,pulse,2023-07-25T16:16:04Z,Day,EF,Day,1015.834097877,1016.687462014,0.32,15.625,31.25,23.438,39.062,LF,LFD
sun_bp23_206f_selections_datetime.txt,11,call,2023-07-25T18:38:52Z,Day,T,Day,9583.103883,9584.804086,0.64,93.75,31.25,23.438,117.188,LF,LFDB
sun_bp23_206f_selections_datetime.txt,13,pulse,2023-07-25T18:44:25Z,Day,T,Day,9916.106991881,9917.165513,0.576,23.438,31.25,15.625,39.062,LF,LFD
sun_bp23_206f_selections_datetime.txt,15,pulse,2023-07-25T16:05:43Z,Day,EF,Day,394.557924511,395.612553774,0.512,15.625,23.438,15.625,31.25,LF,LFD
sun_bp23_206f_selections_datetime.txt,17,pulse,2023-07-25T16:20:23Z,Day,F,Day,1274.793289486,1275.894566,0.512,15.625,23.438,15.625,31.25,LF,LFD
